,project,dependencyProblems,nonDependencyProblems,cranDependencies,nonCranDependencies,createdAtMillis,descriptionChurn,sourceContributors,issueContributors,PRContributors,forksCount,watchersCount,starsCount,isCRAN,sourceLOC,soureceFiles,commentsCount,downstreamProjects,upstreamContributions,upstreamContributionsFraction,upstreamIssueContributions,upstreamIssueContributionsFraction,upstreamAllContributions,upstreamAllContributionsFraction,uniqueUsersAll,averageUpstreamVersion,averageUpstreamReleases,averageUpstreamAge
2370,renkun-ken_formattable,15,33,6,0,1427962931000,75,6,22,24,23,165,165,True,583,8,679,8.0,1.0,0.03333333333333333,13.0,0.10833333333333334,13.0,0.10400000000000001,24,1.3333333333333333,3.3483782182954838,1125.0
2373,jfortin1_shinymethyl,2,2,6,7,1377284031000,23,2,7,7,7,10,10,False,1660,13,205,4.0,2.0,0.2,2.0,0.057142857142857134,2.0,0.057142857142857134,7,1.5,4.058162689663689,1446.75
2376,yihui_fun,0,5,1,0,1291345470000,16,4,3,4,15,19,19,True,1034,20,354,0.0,,,,,,,4,1.0,4.824306898774983,3102.0
2379,markdunning_beadarray-devel,1,2,4,13,1384511458000,1,1,1,1,0,0,0,False,4393,69,819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.7142857142857144,1.1023901836801369,3528.0
2382,dlemas_microbes,0,9,5,0,1418947262000,11,2,1,2,1,0,0,False,365,9,290,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.8,3.0617419825015646,3218.0
2386,pmanko_sleep.tools,0,2,7,2,1399209952000,1,1,1,1,0,0,0,False,2704,37,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8571428571428568,2.1845952337433223,2999.0
2388,crowding_vadr,5,28,8,2,1348391385000,37,1,5,5,1,48,48,False,1080,19,1350,4.0,3.0,0.42857142857142855,10.0,0.2857142857142857,11.0,0.3142857142857143,5,2.2222222222222223,2.093075567154832,1908.2222222222226
2389,andrewhooker_poped,0,1,14,4,1392622010000,29,1,1,1,4,4,4,True,12904,172,5965,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.7958373156080203,2463.3
2390,ropensci_jqr,6,32,7,0,1425329473000,40,5,7,8,3,30,30,True,805,32,732,2.0,1.0,0.05,12.0,0.375,13.0,0.3611111111111111,8,1.6,3.2673646328843624,1008.6
2392,malditobarbudo_cvr,0,3,1,0,1448120591000,4,1,1,1,0,0,0,False,58,1,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,6.672760511882999,547.0
